rank	store_id	store_name	distance_km	item_id	item_name	category	price	qty	meals	promo_title	promo_math	subtotal	discount	service_low	service_high	delivery	tax_low	tax_high	total_low	total_high	per_meal_low	per_meal_high	fee_known	req_mods	flags
16	288863	Chen’s Dumpling House	0.85	i_495353216	Scallion Pancake Chicken Roll(鸡肉卷饼）	Rolls	7.45	2	2	(none)	-	14.90	0.00	0.99	2.99	0.00	0.87	0.98	16.76	18.87	8.38	9.44	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
17	25994411	Sake Sushi	7.63	i_15124731334	Shrimp Tempura Roll	Classic Roll or Hand Roll	7.50	2	2	(none)	-	15.00	0.00	0.99	2.99	0.00	0.88	0.99	16.87	18.98	8.44	9.49	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
18	1150945	Mediterranean Cafe	0.68	i_193263780	Chicken Sandwich	Sandwiches	10.00	2	2	25% off on $12+	pct 25% min $12.00, cap $8.00	20.00	-5.00	1.00	1.00	0.00	0.88	0.88	16.88	16.88	8.44	8.44	1	0	
19	2827319	Cheba Hut "Toasted" Subs	0.75	i_22559827110	Not'Chos	Munchies	7.59	2	2	(none)	-	15.18	0.00	0.99	2.99	0.00	0.89	1.00	17.06	19.17	8.53	9.59	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
20	26182944	A8 China	0.64	i_10422862998	27. Vegetable Fried Rice	Fried Rice	7.69	2	2	(none)	-	15.38	0.00	0.99	2.99	0.00	0.90	1.01	17.27	19.38	8.63	9.69	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
21	23460971	Naf Naf Grill	0.77	i_11328462523	Six Pack Pitas	For the Family	9.70	2	2	20% off on $15+	pct 20% min $15.00, cap $4.00	19.40	-3.88	0.99	0.99	0.00	0.91	0.91	17.42	17.42	8.71	8.71	1	0	
22	294393	MOOYAH Burgers, Fries & Shakes	0.75	i_4771176378	Build Your Own All-Beef Hot Dog	Build Your Own	7.80	2	2	(none)	-	15.60	0.00	0.99	2.99	0.00	0.91	1.02	17.50	19.61	8.75	9.80	0	0	service_fee_unknown_bracketed
23	288921	Forage Kitchen	0.61	i_19656364239	Make Your Own	Make Your Own	7.98	2	2	(none)	-	15.96	0.00	0.99	2.99	0.00	0.93	1.04	17.88	19.99	8.94	9.99	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
24	24474150	A La Brasa Mexican Grill	1.20	i_38789709171	Choriqueso	Botanas	7.99	1	1	(none)	-	7.99	0.00	0.99	2.99	0.00	0.49	0.60	9.47	11.58	9.47	11.58	0	0	service_fee_unknown_bracketed
25	28042387	Senjoy Chinese Cuisine	0.45	i_17773682742	White Rice (Large)(白饭大）	Rice or Noodles	7.99	1	1	(none)	-	7.99	0.00	0.99	2.99	0.00	0.49	0.60	9.47	11.58	9.47	11.58	0	0	service_fee_unknown_bracketed
26	294455	Potbelly	0.77	i_14966293892	Grilled Cheese	Sandwiches	7.99	1	1	(none)	-	7.99	0.00	0.99	2.99	0.00	0.49	0.60	9.47	11.58	9.47	11.58	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
27	40009833	Hmong Legacy Market	3.28	i_39661712425	Hmong Sausage (Pork)	Deli Menu	7.99	1	1	(none)	-	7.99	0.00	0.99	2.99	0.00	0.49	0.60	9.47	11.58	9.47	11.58	0	0	service_fee_unknown_bracketed
28	288954	Bassett Street Brunch Club	0.86	i_438765927	Buttermilk Pancakes (3)	Sweeter Stuff	8.00	1	1	(none)	-	8.00	0.00	0.99	2.99	0.00	0.49	0.61	9.48	11.60	9.48	11.60	0	0	service_fee_unknown_bracketed
29	605790	Teriyaki Sushi Express	5.29	i_5970446064	Avocado & Cucumber Roll	Sushi Roll	8.40	1	1	(none)	-	8.40	0.00	0.99	2.99	0.00	0.52	0.63	9.91	12.02	9.91	12.02	0	0	service_fee_unknown_bracketed
30	658055	McDonald's	0.49	i_6609085738	Big Mac®	Burgers	7.19	2	2	(none)	-	14.38	0.00	2.99	2.99	1.49	1.04	1.04	19.90	19.90	9.95	9.95	1	0	
31	800730	Kosharie	0.76	i_114239836	Small Kosharie Plate	Specialty	8.49	1	1	(none)	-	8.49	0.00	0.99	2.99	0.00	0.52	0.63	10.00	12.11	10.00	12.11	0	0	service_fee_unknown_bracketed
32	33449327	Paul's Pel'meni	0.84	i_24494375473	Half Order Mix	Pel'meni	8.65	1	1	(none)	-	8.65	0.00	0.99	2.99	0.00	0.53	0.64	10.17	12.28	10.17	12.28	0	0	service_fee_unknown_bracketed
33	28087966	Raising Cane's Chicken Fingers	0.76	i_23007981547	Sandwich	Sandwich	8.69	1	1	(none)	-	8.69	0.00	0.99	2.99	0.00	0.53	0.64	10.21	12.32	10.21	12.32	0	0	service_fee_unknown_bracketed
34	288974	SconnieBar	0.74	i_433194824	Garden Salad	Salads	8.80	1	1	(none)	-	8.80	0.00	0.99	2.99	0.00	0.54	0.65	10.33	12.44	10.33	12.44	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
35	289082	Strings Ramen Shop Madison	0.68	i_7926427920	Pork Gyoza dd	Sui Gyoza	8.95	1	1	(none)	-	8.95	0.00	0.99	2.99	0.00	0.55	0.66	10.49	12.60	10.49	12.60	0	0	service_fee_unknown_bracketed
36	24482309	Jamba	0.68	i_44283814374	chicken empanadas	bites	8.99	1	1	(none)	-	8.99	0.00	0.99	2.99	0.00	0.55	0.66	10.53	12.64	10.53	12.64	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
37	28069947	Fresh Madison Market	0.51	i_17078399624	Just Bare Gluten Free Hand-Trimmed Boneless & Skinless Chicken Thighs (20 oz)	Meat	8.99	1	1	(none)	-	8.99	0.00	0.99	2.99	0.00	0.55	0.66	10.53	12.64	10.53	12.64	0	0	service_fee_unknown_bracketed
38	576539	Regent Mart & Cafe	0.70	i_14236701721	Fried Wings 4 Piece	Fried Chicken	8.99	1	1	(none)	-	8.99	0.00	0.99	2.99	0.00	0.55	0.66	10.53	12.64	10.53	12.64	0	0	service_fee_unknown_bracketed
39	289146	Canteen	1.62	i_438756912	Chile Roasted Cauliflower Taco	Tacos by the Twos	9.00	1	1	(none)	-	9.00	0.00	0.99	2.99	0.00	0.55	0.66	10.54	12.65	10.54	12.65	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
40	29865524	Colectivo Coffee State St.	0.74	i_25864293293	Potato Bacon Burrito	Breakfast Burritos	9.00	1	1	(none)	-	9.00	0.00	0.99	2.99	0.00	0.55	0.66	10.54	12.65	10.54	12.65	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
41	34692487	DeVine Grilling	3.66	i_40190415417	Mini Tips	All Chicken	9.35	1	1	(none)	-	9.35	0.00	0.99	2.99	0.00	0.57	0.68	10.91	13.02	10.91	13.02	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
42	24744074	Rocky Rococo Pan Style Pizza	4.14	i_11546383682	Garden Salad	Salads	9.39	1	1	(none)	-	9.39	0.00	0.99	2.99	0.00	0.57	0.68	10.95	13.06	10.95	13.06	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
43	606420	Taiwan Little Eats	1.10	i_25273198278	Crispy & Salty Popcorn Chicken鹹酥雞	Little Eats小吃	9.50	1	1	(none)	-	9.50	0.00	0.99	2.99	0.00	0.58	0.69	11.07	13.18	11.07	13.18	0	0	service_fee_unknown_bracketed
44	25060900	The Mediterranean Joint	1.60	i_9315574158	Chicken Shawarma Wrap	Main Menu	12.99	1	1	25% off on $12+	pct 25% min $12.00, cap $8.00	12.99	-3.25	0.99	0.99	0.00	0.59	0.59	11.32	11.32	11.32	11.32	1	0	
45	37487521	Fried Shack	7.34	i_34600995415	Classic Fried Chicken - Dark Meat (2pc)	Chicken Main Dishes	9.80	1	1	(none)	-	9.80	0.00	0.99	2.99	0.00	0.59	0.70	11.38	13.49	11.38	13.49	0	0	service_fee_unknown_bracketed
46	288983	Jordan's Big Ten Pub	0.60	i_396838394	Stuffed Grilled Cheese	Grillers	9.81	1	1	(none)	-	9.81	0.00	0.99	2.99	0.00	0.59	0.70	11.39	13.50	11.39	13.50	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
47	288850	Estacion Inka	0.62	i_43093682913	Cuarto de Pollo	Pollo A La Brasa	9.99	1	1	(none)	-	9.99	0.00	0.99	2.99	0.00	0.60	0.71	11.58	13.69	11.58	13.69	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
48	289152	Pizza Brutta	1.29	i_2552683997	Bambini	Pizza Rossa	10.00	1	1	(none)	-	10.00	0.00	0.99	2.99	0.00	0.61	0.72	11.60	13.71	11.60	13.71	0	0	service_fee_unknown_bracketed
49	656008	Famous Dave's Bar-B-Que	1.64	i_44550093997	Dave's Double Chocolate Chip Cupcake	Sizzlin' Sandwiches	10.39	1	1	(none)	-	10.39	0.00	0.99	2.99	0.00	0.63	0.74	12.01	14.12	12.01	14.12	0	0	service_fee_unknown_bracketed
50	30122514	Butterbird	0.51	i_23875138877	ROOT BEER FLOAT TO GO	The Sweet Spot To Go	10.53	1	1	(none)	-	10.53	0.00	0.99	2.99	0.00	0.63	0.74	12.15	14.26	12.15	14.26	0	0	service_fee_unknown_bracketed
51	31014406	Chin up 麦屯小吃	0.72	i_44428634865	38. Yang Zhou Fried Rice	Rice and Noodles	10.55	1	1	(none)	-	10.55	0.00	0.99	2.99	0.00	0.64	0.75	12.18	14.29	12.18	14.29	0	0	service_fee_unknown_bracketed
52	27488965	Comfort Fuel	0.73	i_17943433600	Snicker Power	Acai	15.10	1	1	Happy Hour: 30% off on $15+	pct 30% min $15.00, cap $7.00	15.10	-4.53	0.99	2.99	0.00	0.64	0.75	12.20	14.31	12.20	14.31	0	0	service_fee_unknown_bracketed
53	592083	QQ Express	0.43	i_12367936152	029. Vegetable Lo Mein（菜捞面）	Fried Rice & Noodles	10.75	1	1	(none)	-	10.75	0.00	0.99	2.99	0.00	0.65	0.76	12.39	14.50	12.39	14.50	0	0	service_fee_unknown_bracketed
54	350727	Chipotle Mexican Grill	0.68	i_2425584450	Burrito Bowl	Entree	11.00	1	1	(none)	-	11.00	0.00	0.99	2.99	0.00	0.66	0.77	12.65	14.76	12.65	14.76	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
55	288918	Nitty Gritty-Madison	0.68	i_152141940	Classic Grilled Cheese	House Favorites	11.25	1	1	(none)	-	11.25	0.00	0.99	2.99	0.00	0.67	0.78	12.91	15.02	12.91	15.02	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
56	289117	Sushi Express	0.63	i_7482519190	Any 2 Rolls	Regular Sushi Roll (6 Pieces)	11.75	1	1	(none)	-	11.75	0.00	0.99	2.99	0.00	0.70	0.81	13.44	15.55	13.44	15.55	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
57	1775734	Poke It Up	0.69	i_598760133	Vegetable Poke Bowl	Poke Bowl	11.99	1	1	(none)	-	11.99	0.00	0.99	2.99	0.00	0.71	0.82	13.69	15.80	13.69	15.80	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
58	29677328	Luchador Tequila & Taco Bar	0.80	i_14872709648	Chicken Burrito/bowl	Badass Burritos/bowls	12.00	1	1	(none)	-	12.00	0.00	0.99	2.99	0.00	0.72	0.83	13.71	15.82	13.71	15.82	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
59	440496	The Globe	1.16	i_55168494	Spicy Cajun Chicken Pita Sandwich	Sandwiches	12.00	1	1	(none)	-	12.00	0.00	0.99	2.99	0.00	0.72	0.83	13.71	15.82	13.71	15.82	0	0	service_fee_unknown_bracketed
60	288986	The Thirsty Goat	5.93	i_40853178521	House Salad	Salads	12.49	1	1	(none)	-	12.49	0.00	0.99	2.99	0.00	0.74	0.85	14.22	16.33	14.22	16.33	0	0	service_fee_unknown_bracketed
61	288817	El Rancho Mexican Grill	1.54	i_22844873347	two Tamales rice and beans	Entrées	12.59	1	1	(none)	-	12.59	0.00	0.99	2.99	0.00	0.75	0.86	14.33	16.44	14.33	16.44	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
62	25596481	sweetgreen - Healthy Salads, Wraps, and Bowls	0.67	i_19753785840	Create Your Own	Custom	12.75	1	1	(none)	-	12.75	0.00	0.99	2.99	0.00	0.76	0.87	14.50	16.61	14.50	16.61	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
63	25020817	Asian Noodle	0.55	i_759088700	Vegetable Rice Bowl 菜碗	Rice Bowls	12.95	1	1	(none)	-	12.95	0.00	0.99	2.99	0.00	0.77	0.88	14.71	16.82	14.71	16.82	0	0	service_fee_unknown_bracketed
64	31074073	La Hacienda	1.24	i_44555838340	HUEVOS DIVORCIADOS	BREAKFAST	13.18	1	1	(none)	-	13.18	0.00	0.99	2.99	0.00	0.78	0.89	14.95	17.06	14.95	17.06	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
65	289074	Parthenon Gyros	1.12	i_480201582	Greek Salad	Salads (Delivery)	13.19	1	1	(none)	-	13.19	0.00	0.99	2.99	0.00	0.78	0.89	14.96	17.07	14.96	17.07	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
66	592097	Poke Plus Madison	0.67	i_7870440397	Tofu Teriyaki	Teriyaki Menu	13.19	1	1	(none)	-	13.19	0.00	0.99	2.99	0.00	0.78	0.89	14.96	17.07	14.96	17.07	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
67	2435548	Madistan Pakistani Indian Restaurant	0.83	i_22757620331	Falafel Sandwich	Mediterranean Sandwiches	13.34	1	1	(none)	-	13.34	0.00	0.99	2.99	0.00	0.79	0.90	15.12	17.23	15.12	17.23	0	0	service_fee_unknown_bracketed
68	1414475	Taste of Sichuan	0.83	i_390280738	40. Fried Rice	Fried Rice and Noodle	13.95	1	1	(none)	-	13.95	0.00	0.99	2.99	0.00	0.82	0.93	15.76	17.87	15.76	17.87	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
69	35499967	Ellipse Coffee & Crepes	1.00	i_29382909552	Kinder Bueno	Crepes & Waffles	13.99	1	1	(none)	-	13.99	0.00	0.99	2.99	0.00	0.82	0.93	15.80	17.91	15.80	17.91	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
70	288895	The Coopers Tavern	1.48	i_495574579	Amy's Salad	Salads & Bowls	14.00	1	1	(none)	-	14.00	0.00	0.99	2.99	0.00	0.83	0.94	15.82	17.93	15.82	17.93	0	0	service_fee_unknown_bracketed
